genome,taxon_group,tool,entity_type,class_norm,comparison_applicability,shared_count,unshared_count,not_applicable_count,total
Botrytis_cinerea_B05.10,fungi,funbgcex,BGC,other,applicable,1,6,0,7
Botrytis_cinerea_B05.10,fungi,funbgcex,BGC,terpene,applicable,13,3,0,16
Botrytis_cinerea_B05.10,fungi,antismash,GCF,NRPS,applicable,0,16,0,16
Botrytis_cinerea_B05.10,fungi,antismash,GCF,NRPS;PKS,applicable,0,6,0,6
Botrytis_cinerea_B05.10,fungi,antismash,GCF,PKS,applicable,1,12,0,13
Botrytis_cinerea_B05.10,fungi,antismash,GCF,PKS;terpene,applicable,0,1,0,1
Botrytis_cinerea_B05.10,fungi,antismash,GCF,other,applicable,0,2,0,2
Botrytis_cinerea_B05.10,fungi,antismash,GCF,terpene,applicable,0,16,0,16
Calcarisporiella_thermophila_CBS_279.70,fungi,antismash,BGC,Hybrid,applicable,0,0,0,0
Calcarisporiella_thermophila_CBS_279.70,fungi,antismash,BGC,NRPS,applicable,14,2,0,16
Calcarisporiella_thermophila_CBS_279.70,fungi,antismash,BGC,other,applicable,2,3,0,5
Calcarisporiella_thermophila_CBS_279.70,fungi,antismash,BGC,terpene,applicable,4,3,0,7
Calcarisporiella_thermophila_CBS_279.70,fungi,funbgcex,BGC,Hybrid,applicable,0,1,0,1
Calcarisporiella_thermophila_CBS_279.70,fungi,funbgcex,BGC,NRPS,applicable,14,4,0,18
Calcarisporiella_thermophila_CBS_279.70,fungi,funbgcex,BGC,other,applicable,2,4,0,6
Calcarisporiella_thermophila_CBS_279.70,fungi,funbgcex,BGC,terpene,applicable,4,4,0,8
Calcarisporiella_thermophila_CBS_279.70,fungi,antismash,GCF,NRPS,applicable,0,16,0,16
Calcarisporiella_thermophila_CBS_279.70,fungi,antismash,GCF,other,applicable,0,5,0,5
Calcarisporiella_thermophila_CBS_279.70,fungi,antismash,GCF,terpene,applicable,0,7,0,7
Coprinopsis_cinerea_okayama7_130,fungi,antismash,BGC,NRPS,applicable,2,0,0,2
Coprinopsis_cinerea_okayama7_130,fungi,antismash,BGC,PKS,applicable,2,0,0,2
Coprinopsis_cinerea_okayama7_130,fungi,antismash,BGC,other,applicable,2,0,0,2
Coprinopsis_cinerea_okayama7_130,fungi,antismash,BGC,terpene,applicable,11,3,0,14
Coprinopsis_cinerea_okayama7_130,fungi,funbgcex,BGC,NRPS,applicable,2,1,0,3
Coprinopsis_cinerea_okayama7_130,fungi,funbgcex,BGC,PKS,applicable,2,0,0,2
Coprinopsis_cinerea_okayama7_130,fungi,funbgcex,BGC,other,applicable,2,7,0,9
Coprinopsis_cinerea_okayama7_130,fungi,funbgcex,BGC,terpene,applicable,11,1,0,12
Coprinopsis_cinerea_okayama7_130,fungi,antismash,GCF,NRPS,applicable,0,2,0,2
Coprinopsis_cinerea_okayama7_130,fungi,antismash,GCF,PKS,applicable,0,2,0,2
Coprinopsis_cinerea_okayama7_130,fungi,antismash,GCF,other,applicable,0,2,0,2
Coprinopsis_cinerea_okayama7_130,fungi,antismash,GCF,terpene,applicable,0,14,0,14
Cryptococcus_neoformans_H99,fungi,antismash,BGC,NRPS,applicable,1,0,0,1
Cryptococcus_neoformans_H99,fungi,antismash,BGC,other,applicable,0,0,0,0
Cryptococcus_neoformans_H99,fungi,antismash,BGC,terpene,applicable,1,3,0,4
Cryptococcus_neoformans_H99,fungi,funbgcex,BGC,NRPS,applicable,1,1,0,2
Cryptococcus_neoformans_H99,fungi,funbgcex,BGC,other,applicable,0,4,0,4
Cryptococcus_neoformans_H99,fungi,funbgcex,BGC,terpene,applicable,1,0,0,1
Cryptococcus_neoformans_H99,fungi,antismash,GCF,NRPS,applicable,0,1,0,1
Cryptococcus_neoformans_H99,fungi,antismash,GCF,terpene,applicable,0,4,0,4
Cystobasidium_minutum_MCA_4210,fungi,antismash,BGC,NRPS,applicable,2,0,0,2
Cystobasidium_minutum_MCA_4210,fungi,antismash,BGC,other,applicable,0,0,0,0
Cystobasidium_minutum_MCA_4210,fungi,antismash,BGC,terpene,applicable,1,4,0,5
Cystobasidium_minutum_MCA_4210,fungi,funbgcex,BGC,NRPS,applicable,2,1,0,3
Cystobasidium_minutum_MCA_4210,fungi,funbgcex,BGC,other,applicable,0,5,0,5
Cystobasidium_minutum_MCA_4210,fungi,funbgcex,BGC,terpene,applicable,1,1,0,2
Cystobasidium_minutum_MCA_4210,fungi,antismash,GCF,NRPS,applicable,0,2,0,2
Cystobasidium_minutum_MCA_4210,fungi,antismash,GCF,terpene,applicable,0,5,0,5
Encephalitozoon_cuniculi_GB-M1,fungi,antismash,BGC,terpene,applicable,0,1,0,1
Encephalitozoon_cuniculi_GB-M1,fungi,funbgcex,BGC,terpene,applicable,0,1,0,1
Encephalitozoon_cuniculi_GB-M1,fungi,antismash,GCF,terpene,applicable,0,1,0,1
Malassezia_restricta_KCTC_27527,fungi,antismash,BGC,NRPS,applicable,2,0,0,2
Malassezia_restricta_KCTC_27527,fungi,antismash,BGC,PKS,applicable,1,0,0,1
Malassezia_restricta_KCTC_27527,fungi,antismash,BGC,other,applicable,0,0,0,0
Malassezia_restricta_KCTC_27527,fungi,antismash,BGC,terpene,applicable,1,3,0,4
Malassezia_restricta_KCTC_27527,fungi,funbgcex,BGC,NRPS,applicable,2,1,0,3
Malassezia_restricta_KCTC_27527,fungi,funbgcex,BGC,PKS,applicable,1,0,0,1
Malassezia_restricta_KCTC_27527,fungi,funbgcex,BGC,other,applicable,0,2,0,2
Malassezia_restricta_KCTC_27527,fungi,funbgcex,BGC,terpene,applicable,1,2,0,3
Malassezia_restricta_KCTC_27527,fungi,antismash,GCF,NRPS,applicable,0,2,0,2
Malassezia_restricta_KCTC_27527,fungi,antismash,GCF,PKS,applicable,0,1,0,1
Malassezia_restricta_KCTC_27527,fungi,antismash,GCF,terpene,applicable,0,4,0,4
Mixia_osmundae_IAM_14324,fungi,antismash,BGC,NRPS,applicable,3,0,0,3
Mixia_osmundae_IAM_14324,fungi,antismash,BGC,other,applicable,0,0,0,0
Mixia_osmundae_IAM_14324,fungi,antismash,BGC,terpene,applicable,3,3,0,6
Mixia_osmundae_IAM_14324,fungi,funbgcex,BGC,NRPS,applicable,3,1,0,4
Mixia_osmundae_IAM_14324,fungi,funbgcex,BGC,other,applicable,0,4,0,4
Mixia_osmundae_IAM_14324,fungi,funbgcex,BGC,terpene,applicable,3,0,0,3
Mixia_osmundae_IAM_14324,fungi,antismash,GCF,NRPS,applicable,0,3,0,3
Mixia_osmundae_IAM_14324,fungi,antismash,GCF,terpene,applicable,0,6,0,6
Mycosarcoma_maydis_521,fungi,antismash,BGC,NRPS,applicable,9,0,0,9
Mycosarcoma_maydis_521,fungi,antismash,BGC,PKS,applicable,1,0,0,1
Mycosarcoma_maydis_521,fungi,antismash,BGC,other,applicable,0,0,0,0
Mycosarcoma_maydis_521,fungi,antismash,BGC,terpene,applicable,1,4,0,5
Mycosarcoma_maydis_521,fungi,funbgcex,BGC,NRPS,applicable,9,1,0,10
Mycosarcoma_maydis_521,fungi,funbgcex,BGC,PKS,applicable,1,2,0,3
Mycosarcoma_maydis_521,fungi,funbgcex,BGC,other,applicable,0,5,0,5
Mycosarcoma_maydis_521,fungi,funbgcex,BGC,terpene,applicable,1,0,0,1
Mycosarcoma_maydis_521,fungi,antismash,GCF,NRPS,applicable,1,8,0,9
Mycosarcoma_maydis_521,fungi,antismash,GCF,PKS,applicable,0,1,0,1
Mycosarcoma_maydis_521,fungi,antismash,GCF,terpene,applicable,0,5,0,5
Neurospora_crassa_OR74A,fungi,antismash,BGC,Hybrid,applicable,0,2,0,2
Neurospora_crassa_OR74A,fungi,antismash,BGC,NRPS,applicable,3,0,0,3
