genome,tool,entity_type,class_norm,shared_count,unshared_count,total
Aspergillus_niger,antismash,GCF,NRPS;PKS;terpene,0,2,2
Aspergillus_niger,antismash,GCF,NRPS;terpene,0,3,3
Aspergillus_niger,antismash,GCF,PKS,2,16,18
Aspergillus_niger,antismash,GCF,PKS;terpene,0,4,4
Aspergillus_niger,antismash,GCF,RiPP,0,1,1
Aspergillus_niger,antismash,GCF,other,1,4,5
Aspergillus_niger,antismash,GCF,terpene,4,21,25
Aspergillus_oryzae_RIB40,antismash,BGC,Hybrid,7,7,14
Aspergillus_oryzae_RIB40,antismash,BGC,NRPS,19,0,19
Aspergillus_oryzae_RIB40,antismash,BGC,PKS,20,0,20
Aspergillus_oryzae_RIB40,antismash,BGC,RiPP,1,0,1
Aspergillus_oryzae_RIB40,antismash,BGC,other,6,0,6
Aspergillus_oryzae_RIB40,antismash,BGC,terpene,12,8,20
Aspergillus_oryzae_RIB40,funbgcex,BGC,Hybrid,7,0,7
Aspergillus_oryzae_RIB40,funbgcex,BGC,NRPS,19,9,28
Aspergillus_oryzae_RIB40,funbgcex,BGC,PKS,20,7,27
Aspergillus_oryzae_RIB40,funbgcex,BGC,RiPP,1,4,5
Aspergillus_oryzae_RIB40,funbgcex,BGC,other,6,7,13
Aspergillus_oryzae_RIB40,funbgcex,BGC,terpene,12,5,17
Aspergillus_oryzae_RIB40,antismash,GCF,NRPS,15,4,19
Aspergillus_oryzae_RIB40,antismash,GCF,NRPS;PKS,4,0,4
Aspergillus_oryzae_RIB40,antismash,GCF,NRPS;PKS;terpene,1,0,1
Aspergillus_oryzae_RIB40,antismash,GCF,NRPS;terpene,4,1,5
Aspergillus_oryzae_RIB40,antismash,GCF,PKS,16,4,20
Aspergillus_oryzae_RIB40,antismash,GCF,PKS;terpene,3,1,4
Aspergillus_oryzae_RIB40,antismash,GCF,RiPP,1,0,1
Aspergillus_oryzae_RIB40,antismash,GCF,other,5,1,6
Aspergillus_oryzae_RIB40,antismash,GCF,terpene,7,13,20
